Time Series Index,Date,IsHoliday,Week,Month,Quarter,Year
148,11/2/2012,FALSE,44,11,4,2012
149,11/9/2012,FALSE,45,11,4,2012
150,11/16/2012,FALSE,46,11,4,2012
151,11/23/2012,TRUE,47,11,4,2012
152,11/30/2012,FALSE,48,11,4,2012
153,12/7/2012,FALSE,49,12,4,2012
154,12/14/2012,FALSE,50,12,4,2012
155,12/21/2012,FALSE,51,12,4,2012
156,12/28/2012,TRUE,52,12,4,2012
157,1/4/2013,TRUE,1,1,1,2013
158,1/11/2013,FALSE,2,1,1,2013
159,1/18/2013,FALSE,3,1,1,2013
160,1/25/2013,FALSE,4,1,1,2013
161,2/1/2013,FALSE,5,2,1,2013
162,2/8/2013,FALSE,6,2,1,2013
163,2/15/2013,FALSE,7,2,1,2013
164,2/22/2013,FALSE,8,2,1,2013
